id	E17.5KO1	E17.5KO2	E17.5KO3	E17.5WT1	E17.5WT2	E17.5WT3
1417384_at	7.961442438	8.597444704	8.384029846	8.704104015	8.589529287	8.432457101
1417385_at	10.75608838	10.67381995	10.46620727	10.14509054	9.408139468	9.673237552
1417386_at	11.17158031	11.2292375	11.05621696	10.6129381	10.25751027	10.41398288
1417387_at	9.219667121	9.41802637	9.329272996	9.578270344	9.531663088	9.491380668
1417388_at	7.886936361	7.536566145	7.746929026	7.446663265	7.65265526	7.739059478
1417389_at	11.36885319	11.44824829	11.5137087	10.07010575	10.71119465	10.53965327
1417390_at	9.827765234	10.2020983	10.39817344	9.912621321	10.22718469	10.45609694
1417391_a_at	7.022675498	6.415237944	7.039179606	7.008742425	7.22681613	7.769139721
1417392_a_at	7.688794157	7.540846933	7.365550062	7.996427623	8.049497027	7.264618016
1417393_a_at	10.79830664	11.37750472	11.26494961	11.25437737	11.68732268	11.52193355
1417394_at	13.50243075	13.07034211	13.324564	13.2798479	13.23850212	12.71901188
1417395_at	12.05893697	11.75859304	11.97232265	12.22184173	11.59127809	11.79546665
1417396_at	7.079456356	5.628165531	6.577298953	7.286259259	7.020214323	5.106173052
1417397_at	10.93189052	11.14797945	10.98332609	9.617216738	9.750446579	9.889269377
1417398_at	9.437785359	9.61154856	9.469438196	9.32384395	9.348285318	9.27035028
1417399_at	11.10978271	11.24687905	11.11942708	11.29074774	11.02977264	11.21810433
1417400_at	10.19223652	10.01592321	10.150335	11.04307584	10.79914188	11.00906819
1417401_at	8.162562612	8.66590389	8.031286791	8.79890938	8.789391631	8.648039085
1417402_at	9.951946289	10.18215007	10.10899298	10.35167741	10.3948816	10.28769114
1417403_at	8.339219669	8.357637632	8.388555521	9.52339716	8.824228892	8.55397012
1417404_at	9.280145612	9.596970228	9.607247321	10.68277827	10.73107104	10.53193411
1417405_at	9.707156581	9.465767551	9.781133946	9.238179181	9.859768108	9.802139617
1417406_at	9.645610101	9.956183084	9.747163646	10.54057497	10.52464418	10.19700168
1417407_at	8.925356693	9.374568428	9.091333258	8.681197866	8.8969342	8.88635907
1417408_at	11.51823801	11.29504681	11.25347492	11.44227712	11.05686524	10.67470042
1417409_at	11.38755564	11.23347168	11.41414918	11.8762323	11.54926531	11.55849376
1417410_s_at	11.90192606	11.89597338	11.7900555	11.37917894	11.38530047	11.33079185
1417411_at	6.274566462	6.325489379	6.373842588	6.777075882	6.425045466	6.494744514
1417412_at	7.44711273	7.589242138	7.840637451	6.286390002	5.715336099	6.983071349
1417413_at	4.049804833	4.55369703	5.259806729	5.802765266	3.88160446	6.623962846
1417414_at	7.0370119	4.924362406	7.127735312	7.239649752	5.252347807	6.598030002
1417415_at	3.248048894	6.27015684	5.137485381	4.861473538	3.582078504	3.481341383
1417416_at	7.145212025	7.677720625	6.966973176	7.82721209	6.426815779	7.044212521
1417417_a_at	14.10205833	14.20094497	14.21057727	14.17669237	14.26629079	14.04020172
1417418_s_at	12.47757658	12.50781358	12.50604628	12.67850233	12.66325976	12.67655836
1417419_at	10.70434956	10.72101329	10.62261854	10.87386666	9.587342322	10.41446475
